App Name,File Size (KB),Date Modified
Perculia,5724,2024-06-05 09:01:30
PerculiaLoginHelper,28,2024-06-05 09:01:30
Visual Studio Code,539188,2024-06-05 09:01:30
Code Helper (Plugin),292,2024-06-05 09:01:30
Code Helper (GPU),292,2024-06-05 09:01:30
Code Helper,292,2024-06-05 09:01:30
Code Helper (Renderer),292,2024-06-05 09:01:30
Limitless,48996,2024-06-05 09:01:30
Nebula for Mac,350516,2024-06-05 09:01:30
VLC,134120,2024-06-05 09:01:30
Autoupdate,656,2024-06-05 09:01:30
crash_report_sender,452,2024-06-05 09:01:30
Warpcast,39260,2024-06-05 09:01:30
mobile-client,39252,2024-06-05 09:01:30
ProtonVPN,170476,2024-06-05 09:01:30
ProtonVPNStarter,268,2024-06-05 09:01:30
Updater,300,2024-06-05 09:01:30
CapCut,1338628,2024-06-05 09:01:30
CapCut,1544,2024-06-05 09:01:30
VECrashHandler,1528,2024-06-05 09:01:30
Flipper,27076,2024-06-05 09:01:30
Flipper,27068,2024-06-05 09:01:30
LM Studio,306668,2024-06-05 09:01:30
LM Studio Helper (Renderer),148,2024-06-05 09:01:30
LM Studio Helper (GPU),148,2024-06-05 09:01:30
LM Studio Helper,148,2024-06-05 09:01:31
LM Studio Helper (Plugin),148,2024-06-05 09:01:31
Google Chrome,1117976,2024-06-05 09:01:31
Google Chrome Helper (GPU),524,2024-06-05 09:01:31
Google Chrome Helper (Alerts),780,2024-06-05 09:01:31
Google Chrome Helper (Plugin),524,2024-06-05 09:01:31
Google Chrome Helper,524,2024-06-05 09:01:31
Google Chrome Helper (Renderer),524,2024-06-05 09:01:31
GoogleUpdater,22044,2024-06-05 09:01:31
GoogleSoftwareUpdateAgent,4532,2024-06-05 09:01:31
Google Chrome Helper (GPU),524,2024-06-05 09:01:31
Google Chrome Helper (Alerts),780,2024-06-05 09:01:31
Google Chrome Helper (Plugin),524,2024-06-05 09:01:31
Google Chrome Helper,524,2024-06-05 09:01:31
Google Chrome Helper (Renderer),524,2024-06-05 09:01:31
GoogleUpdater,22044,2024-06-05 09:01:31
GoogleSoftwareUpdateAgent,4532,2024-06-05 09:01:31
Caffeine,8376,2024-06-05 09:01:31
Updater,300,2024-06-05 09:01:31
Karabiner-Elements,17864,2024-06-05 09:01:31
Updater,300,2024-06-05 09:01:31
Karabiner-EventViewer,10392,2024-06-05 09:01:31
TextSniper,11452,2024-06-05 09:01:31
LaunchAtLoginHelper,192,2024-06-05 09:01:31
Autoupdate,1236,2024-06-05 09:01:31
Sublime Text (4143),123632,2024-06-05 09:01:31
Dropbox,513508,2024-06-05 09:01:32
DropboxMacUpdate,1724,2024-06-05 09:01:32
Dropbox Helper (GPU),136,2024-06-05 09:01:32
Dropbox Helper (Renderer),136,2024-06-05 09:01:32
Dropbox Helper,136,2024-06-05 09:01:32
Dropbox Helper (Plugin),136,2024-06-05 09:01:32
MacWhisper,18156,2024-06-05 09:01:32
Updater,296,2024-06-05 09:01:32
Telegram,113448,2024-06-05 09:01:32
Xcode,6274088,2024-06-05 09:01:35
XCPreviewAgent,56,2024-06-05 09:01:35
XCTRunner,52,2024-06-05 09:01:35
XCPreviewAgent,60,2024-06-05 09:01:35
XCTRunner,56,2024-06-05 09:01:35
XCPreviewAgent,80,2024-06-05 09:01:35
XCTRunner,68,2024-06-05 09:01:35
XCPreviewAgent,28,2024-06-05 09:01:35
XCTRunner,44,2024-06-05 09:01:35
XCPreviewAgent,28,2024-06-05 09:01:35
XCTRunner,44,2024-06-05 09:01:35
XCPreviewAgent,56,2024-06-05 09:01:35
XCPreviewAgent,72,2024-06-05 09:01:35
Xcode Helper,1768,2024-06-05 09:01:35
XCTRunner,48,2024-06-05 09:01:35
IBCocoaSimulator,36,2024-06-05 09:01:35
XCPreviewAgent,56,2024-06-05 09:01:35
XCTRunner,48,2024-06-05 09:01:35
XCPreviewAgent,52,2024-06-05 09:01:35
XCTRunner,52,2024-06-05 09:01:35
XCPreviewAgent,52,2024-06-05 09:01:35
XCTRunner,52,2024-06-05 09:01:35
GPUToolsAgent,68,2024-06-05 09:01:35
Python,88,2024-06-05 09:01:35
Simulator,12244,2024-06-05 09:01:35
Create ML,7156,2024-06-05 09:01:35
Instruments,35140,2024-06-05 09:01:36
backgroundinstruments,72,2024-06-05 09:01:36
